s,mph,hp,rpm,kw,torque_Nm
3.5,61.2,38.09,11094.54859,28.403713,24.44943631
3.5,61.21,38.08,11096.36143,28.396256,24.43902414
3.52,61.35,37.96,11121.74111,28.306772,24.30641658
3.52,61.36,37.96,11123.55395,28.306772,24.3024553
3.54,61.49,37.94,11147.1208,28.291858,24.23829873
3.54,61.5,37.95,11148.93363,28.299315,24.24074509
3.56,61.63,38,11172.50049,28.3366,24.22148295
3.56,61.64,38.01,11174.31332,28.344057,24.22392648
3.58,61.78,38.1,11199.69301,28.41117,24.22625989
3.58,61.79,38.11,11201.50584,28.418627,24.22869672
3.6,61.93,38.18,11226.88553,28.470826,24.2183273
3.6,61.94,38.18,11228.69836,28.470826,24.21441734
3.62,62.08,38.18,11254.07805,28.470826,24.15981008
3.62,62.09,38.17,11255.89088,28.463369,24.14959213
3.64,62.23,38.07,11281.27057,28.388799,24.03213617
3.64,62.24,38.05,11283.0834,28.373885,24.01565175
3.66,62.37,37.84,11306.65026,28.217288,23.83332767
3.66,62.38,37.82,11308.46309,28.202374,23.81691212
3.68,62.52,37.49,11333.84278,27.956293,23.5562292
3.68,62.53,37.46,11335.65561,27.933922,23.53361501
3.7,62.66,37.08,11359.22246,27.650556,23.24655676
3.7,62.67,37.05,11361.0353,27.628185,23.22404251
3.72,62.8,36.67,11384.60215,27.344819,22.93826504
3.72,62.81,36.65,11386.41498,27.329905,22.92210438
3.74,62.93,36.35,11408.169,27.106195,22.69112267
3.74,62.94,36.33,11409.98184,27.091281,22.67503466
3.76,63.07,36.12,11433.54869,26.934684,22.49749743
3.76,63.08,36.12,11435.36152,26.934684,22.49393093
3.78,63.2,36.05,11457.11554,26.882485,22.40771081
3.78,63.21,36.06,11458.92837,26.889942,22.4103806
3.8,63.34,36.13,11482.49523,26.942141,22.40779913
3.8,63.35,36.15,11484.30806,26.957055,22.41666402
3.82,63.47,36.32,11506.06208,27.083824,22.47949972
3.82,63.48,36.33,11507.87491,27.091281,22.48214684
3.84,63.6,36.54,11529.62893,27.247878,22.5694371
3.84,63.61,36.56,11531.44176,27.262792,22.57824034
3.86,63.74,36.75,11555.00862,27.404475,22.64928958
3.86,63.75,36.76,11556.82145,27.411932,22.65189886
